Gene Symbol	Gene Id	Gene Description	Disease Id	Disease Code	Disease Name	Psychiatric disorder	Evidence Index	# Publications	Disease Id	# Publications Validated	Gene Id	Disease Id	# Publications Validated	Gene Id	# Publications Validated	Disease Id	Gene Id	# Publications Validated
HIP1R	9026	huntingtin interacting protein 1 related	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	9026	umls:C0005586	2	9026	2	umls:C0005586	9026	2
CHRNA6	8973	cholinergic receptor, nicotinic, alpha 6 (neuronal)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	8973	umls:C0005586	2	8973	2	umls:C0005586	8973	2
PER2	8864	period circadian clock 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	8864	umls:C0005586	4	8864	4	umls:C0005586	8864	4
HCAR3	8843	hydroxycarboxylic acid receptor 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	8843	umls:C0005586	2	8843	2	umls:C0005586	8843	2
VEGFA	7422	vascular endothelial growth factor A	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	7422	umls:C0005586	2	7422	2	umls:C0005586	7422	2
TGM2	7052	transglutaminase 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	7052	umls:C0005586	2	7052	2	umls:C0005586	7052	2
SOD2	6648	superoxide dismutase 2, mitochondrial	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	6648	umls:C0005586	2	6648	2	umls:C0005586	6648	2
SLC1A2	6506	solute carrier family 1 (glial high affinity glutamate transporter), member 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	4	umls:C0005586	4	6506	umls:C0005586	4	6506	4	umls:C0005586	6506	4
PSEN2	5664	presenilin 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	5664	umls:C0005586	2	5664	2	umls:C0005586	5664	2
PRKCI	5584	protein kinase C, iota	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	5584	umls:C0005586	2	5584	2	umls:C0005586	5584	2
POLG	5428	polymerase (DNA directed), gamma	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	5428	umls:C0005586	2	5428	2	umls:C0005586	5428	2
MC2R	4158	melanocortin 2 receptor (adrenocorticotropic hormone)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	4158	umls:C0005586	2	4158	2	umls:C0005586	4158	2
ITPR1	3708	inositol 1,4,5-trisphosphate receptor, type 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	3708	umls:C0005586	2	3708	2	umls:C0005586	3708	2
ITIH4	3700	inter-alpha-trypsin inhibitor heavy chain family, member 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	3700	umls:C0005586	3	3700	3	umls:C0005586	3700	3
IMPA1	3612	inositol(myo)-1(or 4)-monophosphatase 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	3612	umls:C0005586	2	3612	2	umls:C0005586	3612	2
DNAJB1	3337	DnaJ (Hsp40) homolog, subfamily B, member 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	3337	umls:C0005586	2	3337	2	umls:C0005586	3337	2
MCHR1	2847	melanin-concentrating hormone receptor 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2847	umls:C0005586	2	2847	2	umls:C0005586	2847	2
FABP7	2173	fatty acid binding protein 7, brain	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2173	umls:C0005586	2	2173	2	umls:C0005586	2173	2
EGR3	1960	early growth response 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	1960	umls:C0005586	3	1960	3	umls:C0005586	1960	3
DLG2	1740	discs, large homolog 2 (Drosophila)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	1740	umls:C0005586	2	1740	2	umls:C0005586	1740	2
CTLA4	1493	cytotoxic T-lymphocyte-associated protein 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	1493	umls:C0005586	2	1493	2	umls:C0005586	1493	2
CHRNB3	1142	cholinergic receptor, nicotinic, beta 3 (neuronal)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	3	1142	umls:C0005586	3	1142	3	umls:C0005586	1142	3
CHRNA2	1135	cholinergic receptor, nicotinic, alpha 2 (neuronal)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	1135	umls:C0005586	2	1135	2	umls:C0005586	1135	2
PPIEL	728448	peptidylprolyl isomerase E-like pseudogene	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	728448	umls:C0005586	1	728448	1	umls:C0005586	728448	1
MDGA1	266727	MAM domain containing glycosylphosphatidylinositol anchor 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	266727	umls:C0005586	1	266727	1	umls:C0005586	266727	1
ABCA13	154664	ATP-binding cassette, sub-family A (ABC1), member 13	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	154664	umls:C0005586	1	154664	1	umls:C0005586	154664	1
CNTN4	152330	contactin 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	152330	umls:C0005586	1	152330	1	umls:C0005586	152330	1
C14orf28	122525	chromosome 14 open reading frame 28	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	122525	umls:C0005586	1	122525	1	umls:C0005586	122525	1
GRIN3A	116443	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	116443	umls:C0005586	1	116443	1	umls:C0005586	116443	1
PIP4K2C	79837	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	79837	umls:C0005586	1	79837	1	umls:C0005586	79837	1
USP46	64854	ubiquitin specific peptidase 46	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	64854	umls:C0005586	1	64854	1	umls:C0005586	64854	1
LHX5	64211	LIM homeobox 5	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	64211	umls:C0005586	1	64211	1	umls:C0005586	64211	1
GNB1L	54584	guanine nucleotide binding protein (G protein), beta polypeptide 1-like	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	54584	umls:C0005586	1	54584	1	umls:C0005586	54584	1
TUBA8	51807	tubulin, alpha 8	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	51807	umls:C0005586	1	51807	1	umls:C0005586	51807	1
SRRT	51593	serrate, RNA effector molecule	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	51593	umls:C0005586	1	51593	1	umls:C0005586	51593	1
GAL	51083	galanin/GMAP prepropeptide	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	51083	umls:C0005586	1	51083	1	umls:C0005586	51083	1
PCLO	27445	piccolo presynaptic cytomatrix protein	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	27445	umls:C0005586	2	27445	2	umls:C0005586	27445	2
HPGDS	27306	hematopoietic prostaglandin D synthase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	27306	umls:C0005586	1	27306	1	umls:C0005586	27306	1
CNTN6	27255	contactin 6	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	27255	umls:C0005586	1	27255	1	umls:C0005586	27255	1
DKK4	27121	dickkopf WNT signaling pathway inhibitor 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	27121	umls:C0005586	1	27121	1	umls:C0005586	27121	1
CACNG5	27091	calcium channel, voltage-dependent, gamma subunit 5	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	27091	umls:C0005586	1	27091	1	umls:C0005586	27091	1
DAZAP1	26528	DAZ associated protein 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	26528	umls:C0005586	1	26528	1	umls:C0005586	26528	1
FGF20	26281	fibroblast growth factor 20	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	26281	umls:C0005586	1	26281	1	umls:C0005586	26281	1
FBXL3	26224	F-box and leucine-rich repeat protein 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	26224	umls:C0005586	1	26224	1	umls:C0005586	26224	1
CNTNAP2	26047	contactin associated protein-like 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	26047	umls:C0005586	1	26047	1	umls:C0005586	26047	1
NCS1	23413	neuronal calcium sensor 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	23413	umls:C0005586	2	23413	2	umls:C0005586	23413	2
LARS2	23395	leucyl-tRNA synthetase 2, mitochondrial	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	23395	umls:C0005586	1	23395	1	umls:C0005586	23395	1
ASTN2	23245	astrotactin 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	23245	umls:C0005586	1	23245	1	umls:C0005586	23245	1
PLCB1	23236	phospholipase C, beta 1 (phosphoinositide-specific)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	23236	umls:C0005586	1	23236	1	umls:C0005586	23236	1
NLGN1	22871	neuroligin 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	22871	umls:C0005586	1	22871	1	umls:C0005586	22871	1
AKAP10	11216	A kinase (PRKA) anchor protein 10	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	11216	umls:C0005586	1	11216	1	umls:C0005586	11216	1
GNB2L1	10399	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	10399	umls:C0005586	1	10399	1	umls:C0005586	10399	1
HCG9	10255	HLA complex group 9 (non-protein coding)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	10255	umls:C0005586	2	10255	2	umls:C0005586	10255	2
RNF41	10193	ring finger protein 41, E3 ubiquitin protein ligase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	10193	umls:C0005586	1	10193	1	umls:C0005586	10193	1
RAPGEF5	9771	Rap guanine nucleotide exchange factor (GEF) 5	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	9771	umls:C0005586	1	9771	1	umls:C0005586	9771	1
ARHGEF10	9639	Rho guanine nucleotide exchange factor (GEF) 10	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	9639	umls:C0005586	1	9639	1	umls:C0005586	9639	1
SEC24C	9632	SEC24 family member C	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	9632	umls:C0005586	1	9632	1	umls:C0005586	9632	1
NRXN1	9378	neurexin 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	9378	umls:C0005586	2	9378	2	umls:C0005586	9378	2
DCLK1	9201	doublecortin-like kinase 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	9201	umls:C0005586	1	9201	1	umls:C0005586	9201	1
FGF17	8822	fibroblast growth factor 17	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	8822	umls:C0005586	1	8822	1	umls:C0005586	8822	1
SYN3	8224	synapsin III	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	8224	umls:C0005586	1	8224	1	umls:C0005586	8224	1
VIPR2	7434	vasoactive intestinal peptide receptor 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	7434	umls:C0005586	1	7434	1	umls:C0005586	7434	1
VGF	7425	VGF nerve growth factor inducible	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	7425	umls:C0005586	2	7425	2	umls:C0005586	7425	2
SLC6A13	6540	solute carrier family 6 (neurotransmitter transporter), member 13	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	6540	umls:C0005586	1	6540	1	umls:C0005586	6540	1
SLC1A6	6511	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	6511	umls:C0005586	1	6511	1	umls:C0005586	6511	1
SLC1A3	6507	solute carrier family 1 (glial high affinity glutamate transporter), member 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	6507	umls:C0005586	1	6507	1	umls:C0005586	6507	1
SLC1A1	6505	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	6505	umls:C0005586	1	6505	1	umls:C0005586	6505	1
SRSF3	6428	serine/arginine-rich splicing factor 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	6428	umls:C0005586	1	6428	1	umls:C0005586	6428	1
SFRP1	6422	secreted frizzled-related protein 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	6422	umls:C0005586	1	6422	1	umls:C0005586	6422	1
REN	5972	renin	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5972	umls:C0005586	1	5972	1	umls:C0005586	5972	1
PTGDS	5730	prostaglandin D2 synthase 21kDa (brain)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	5730	umls:C0005586	2	5730	2	umls:C0005586	5730	2
PPP3CC	5533	protein phosphatase 3, catalytic subunit, gamma isozyme	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5533	umls:C0005586	1	5533	1	umls:C0005586	5533	1
PPP2R2C	5522	protein phosphatase 2, regulatory subunit B, gamma	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	5522	umls:C0005586	2	5522	2	umls:C0005586	5522	2
POU3F2	5454	POU class 3 homeobox 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5454	umls:C0005586	1	5454	1	umls:C0005586	5454	1
PMCH	5367	pro-melanin-concentrating hormone	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5367	umls:C0005586	1	5367	1	umls:C0005586	5367	1
PIK3C3	5289	phosphatidylinositol 3-kinase, catalytic subunit type 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5289	umls:C0005586	1	5289	1	umls:C0005586	5289	1
PDE9A	5152	phosphodiesterase 9A	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5152	umls:C0005586	1	5152	1	umls:C0005586	5152	1
PDE4A	5141	phosphodiesterase 4A, cAMP-specific	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5141	umls:C0005586	1	5141	1	umls:C0005586	5141	1
NFIX	4784	nuclear factor I/X (CCAAT-binding transcription factor)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4784	umls:C0005586	1	4784	1	umls:C0005586	4784	1
NEFM	4741	neurofilament, medium polypeptide	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4741	umls:C0005586	1	4741	1	umls:C0005586	4741	1
NEDD4	4734	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4734	umls:C0005586	1	4734	1	umls:C0005586	4734	1
NDUFV3	4731	NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4731	umls:C0005586	1	4731	1	umls:C0005586	4731	1
NDUFV1	4723	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4723	umls:C0005586	1	4723	1	umls:C0005586	4723	1
MLLT3	4300	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4300	umls:C0005586	1	4300	1	umls:C0005586	4300	1
MFGE8	4240	milk fat globule-EGF factor 8 protein	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4240	umls:C0005586	1	4240	1	umls:C0005586	4240	1
MAP2	4133	microtubule-associated protein 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	4133	umls:C0005586	1	4133	1	umls:C0005586	4133	1
IL2RB	3560	interleukin 2 receptor, beta	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	3560	umls:C0005586	1	3560	1	umls:C0005586	3560	1
IGF1	3479	insulin-like growth factor 1 (somatomedin C)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	3479	umls:C0005586	2	3479	2	umls:C0005586	3479	2
HLA-DRB4	3126	major histocompatibility complex, class II, DR beta 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	3126	umls:C0005586	1	3126	1	umls:C0005586	3126	1
HINT1	3094	histidine triad nucleotide binding protein 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	3094	umls:C0005586	1	3094	1	umls:C0005586	3094	1
GSTZ1	2954	glutathione S-transferase zeta 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2954	umls:C0005586	1	2954	1	umls:C0005586	2954	1
GSTT1	2952	glutathione S-transferase theta 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2952	umls:C0005586	1	2952	1	umls:C0005586	2952	1
GSTM1	2944	glutathione S-transferase mu 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2944	umls:C0005586	2	2944	2	umls:C0005586	2944	2
GRN	2896	granulin	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	2896	umls:C0005586	2	2896	2	umls:C0005586	2896	2
GRID1	2894	glutamate receptor, ionotropic, delta 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2894	umls:C0005586	1	2894	1	umls:C0005586	2894	1
GAP43	2596	growth associated protein 43	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2596	umls:C0005586	1	2596	1	umls:C0005586	2596	1
FGFR2	2263	fibroblast growth factor receptor 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	2263	umls:C0005586	1	2263	1	umls:C0005586	2263	1
EHHADH	1962	enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	1962	umls:C0005586	1	1962	1	umls:C0005586	1962	1
EGR2	1959	early growth response 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	1959	umls:C0005586	2	1959	2	umls:C0005586	1959	2
CRHR2	1395	corticotropin releasing hormone receptor 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	1395	umls:C0005586	1	1395	1	umls:C0005586	1395	1
CCKAR	886	cholecystokinin A receptor	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	886	umls:C0005586	1	886	1	umls:C0005586	886	1
CALM2	805	calmodulin 2 (phosphorylase kinase, delta)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	805	umls:C0005586	2	805	2	umls:C0005586	805	2
BCHE	590	butyrylcholinesterase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	590	umls:C0005586	1	590	1	umls:C0005586	590	1
ARRB2	409	arrestin, beta 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	409	umls:C0005586	1	409	1	umls:C0005586	409	1
APP	351	amyloid beta (A4) precursor protein	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	351	umls:C0005586	1	351	1	umls:C0005586	351	1
APOD	347	apolipoprotein D	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	347	umls:C0005586	1	347	1	umls:C0005586	347	1
SLC25A4	291	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	2	291	umls:C0005586	2	291	2	umls:C0005586	291	2
ADRA2C	152	adrenoceptor alpha 2C	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	152	umls:C0005586	1	152	1	umls:C0005586	152	1
ADCY3	109	adenylate cyclase 3	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	109	umls:C0005586	1	109	1	umls:C0005586	109	1
RASGRP1	10125	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	10125	umls:C0005586	1	10125	1	umls:C0005586	10125	1
DLX1	1745	distal-less homeobox 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	1745	umls:C0005586	1	1745	1	umls:C0005586	1745	1
S1PR1	1901	sphingosine-1-phosphate receptor 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	1901	umls:C0005586	1	1901	1	umls:C0005586	1901	1
HTR4	3360	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	3360	umls:C0005586	1	3360	1	umls:C0005586	3360	1
KCNQ2	3785	potassium channel, voltage gated KQT-like subfamily Q, member 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	1	3785	umls:C0005586	1	3785	1	umls:C0005586	3785	1
NOS3	4846	nitric oxide synthase 3 (endothelial cell)	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	2	umls:C0005586	1	4846	umls:C0005586	1	4846	1	umls:C0005586	4846	1
OTX2	5015	orthodenticle homeobox 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	5015	umls:C0005586	1	5015	1	umls:C0005586	5015	1
TRPC7	57113	transient receptor potential cation channel, subfamily C, member 7	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	57113	umls:C0005586	1	57113	1	umls:C0005586	57113	1
BCL2	596	B-cell CLL/lymphoma 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	6	umls:C0005586	3	596	umls:C0005586	3	596	3	umls:C0005586	596	3
BCL9	607	B-cell CLL/lymphoma 9	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	607	umls:C0005586	1	607	1	umls:C0005586	607	1
NOD2	64127	nucleotide-binding oligomerization domain containing 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	64127	umls:C0005586	1	64127	1	umls:C0005586	64127	1
SST	6750	somatostatin	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	3	umls:C0005586	1	6750	umls:C0005586	1	6750	1	umls:C0005586	6750	1
TLR2	7097	toll-like receptor 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	7097	umls:C0005586	1	7097	1	umls:C0005586	7097	1
XBP1	7494	X-box binding protein 1	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	15	umls:C0005586	2	7494	umls:C0005586	2	7494	2	umls:C0005586	7494	2
CACNB2	783	calcium channel, voltage-dependent, beta 2 subunit	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	783	umls:C0005586	1	783	1	umls:C0005586	783	1
PALB2	79728	partner and localizer of BRCA2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	79728	umls:C0005586	1	79728	1	umls:C0005586	79728	1
CBS	875	cystathionine-beta-synthase	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	875	umls:C0005586	1	875	1	umls:C0005586	875	1
CDH7	1005	cadherin 7, type 2	umls:C0005586	C0005586	bipolar disorder	Bipolar disorders and related disorders	1.0	1	umls:C0005586	1	1005	umls:C0005586	1	1005	1	umls:C0005586	1005	1
